Keller LEX1 pressure data
Date	Time	Pressure (mBar)
03/04/2014	11:27:44	1040.5784
03/04/2014	11:27:45	1040.5533
03/04/2014	11:27:46	1040.2335
03/04/2014	11:27:47	1040.2550
03/04/2014	11:27:48	1040.1139
03/04/2014	11:27:49	1040.1055
03/04/2014	11:27:50	1040.1525
03/04/2014	11:27:51	1039.8921
03/04/2014	11:27:52	1040.0457
03/04/2014	11:27:53	1040.0284
03/04/2014	11:27:54	1039.8333
03/04/2014	11:27:55	1039.9720
03/04/2014	11:27:56	1039.7308
03/04/2014	11:27:57	1039.7705
03/04/2014	11:27:58	1039.6863
03/04/2014	11:27:59	1039.7008
03/04/2014	11:28:00	1039.6271
03/04/2014	11:28:01	1039.5293
03/04/2014	11:28:02	1039.4749
03/04/2014	11:28:03	1039.2926
03/04/2014	11:28:04	1039.2894
03/04/2014	11:28:05	1039.4163
03/04/2014	11:28:06	1039.3292
03/04/2014	11:28:07	NaN
03/04/2014	11:28:08	1038.9213
03/04/2014	11:28:09	1039.0280
03/04/2014	11:28:10	1038.7291
03/04/2014	11:28:11	1038.9083
03/04/2014	11:28:12	1038.8801
03/04/2014	11:28:13	1038.8682
03/04/2014	11:28:14	1038.8337
03/04/2014	11:28:15	1038.8079
03/04/2014	11:28:16	1038.5797
03/04/2014	11:28:17	1038.5157
03/04/2014	11:28:18	1038.6182
03/04/2014	11:28:19	1038.3235
03/04/2014	11:28:20	1038.5690
03/04/2014	11:28:21	1038.5431
03/04/2014	11:28:22	1038.4886
03/04/2014	11:28:23	1038.4261
03/04/2014	11:28:24	1038.3602
03/04/2014	11:28:25	1038.3809
03/04/2014	11:28:26	1038.2574
03/04/2014	11:28:27	1038.1802
03/04/2014	11:28:28	1038.1586
03/04/2014	11:28:29	1038.0529
03/04/2014	11:28:30	1038.0278
03/04/2014	11:28:31	1038.0341
03/04/2014	11:28:32	1038.0002
03/04/2014	11:28:33	1037.9548
03/04/2014	11:28:34	1037.9077
03/04/2014	11:28:35	1037.8552
03/04/2014	11:28:36	1037.8788
03/04/2014	11:28:37	1037.7405
03/04/2014	11:28:38	1037.7043
03/04/2014	11:28:39	1037.6624
03/04/2014	11:28:40	1037.6201
03/04/2014	11:28:41	1037.5200
03/04/2014	11:28:42	1037.5283
03/04/2014	11:28:43	1037.4280
03/04/2014	11:28:44	1037.3634
03/04/2014	11:28:45	1037.3350
03/04/2014	11:28:46	1037.3225
03/04/2014	11:28:47	1037.2754
03/04/2014	11:28:48	1037.0879
03/04/2014	11:28:49	1037.1733
03/04/2014	11:28:50	1036.9203
03/04/2014	11:28:51	1037.2145
03/04/2014	11:28:52	1037.1298
03/04/2014	11:28:53	1036.7706
03/04/2014	11:28:54	1036.8132
03/04/2014	11:28:55	1036.8879
03/04/2014	11:28:56	1036.7493
03/04/2014	11:28:57	1036.8346
03/04/2014	11:28:58	1036.6876
03/04/2014	11:29:00	1036.5588
03/04/2014	11:29:01	1036.6271
03/04/2014	11:29:02	1036.2582
03/04/2014	11:29:03	1036.3273
03/04/2014	11:29:04	1036.8610
03/04/2014	11:29:05	1036.2418
03/04/2014	11:29:06	1036.4553
03/04/2014	11:29:07	1036.4569
03/04/2014	11:29:08	1036.4388
03/04/2014	11:29:09	1036.4359
03/04/2014	11:29:10	1036.2311
03/04/2014	11:29:11	1035.9719
03/04/2014	11:29:12	1036.2312
03/04/2014	11:29:13	1036.1956
03/04/2014	11:29:14	1035.8002
03/04/2014	11:29:15	1035.9836
03/04/2014	11:29:16	1036.0312
03/04/2014	11:29:17	1035.9932
03/04/2014	11:29:18	1035.9923
03/04/2014	11:29:19	1035.8688
03/04/2014	11:29:20	1035.9364
03/04/2014	11:29:21	1036.3765
03/04/2014	11:29:22	1035.8386
03/04/2014	11:29:23	1035.7083
03/04/2014	11:29:24	1035.2600
03/04/2014	11:29:25	1035.5161
03/04/2014	11:29:26	1035.8363
03/04/2014	11:29:27	1035.6975
03/04/2014	11:29:28	1035.5625
03/04/2014	11:29:29	1035.2878
03/04/2014	11:29:30	1035.2239
03/04/2014	11:29:31	1035.2985
03/04/2014	11:29:32	1035.6080
03/04/2014	11:29:33	1035.4469
03/04/2014	11:29:34	1035.2240
03/04/2014	11:29:35	1035.0364
03/04/2014	11:29:36	1035.2070
03/04/2014	11:29:37	1035.0576
03/04/2014	11:29:38	1035.1217
03/04/2014	11:29:39	1034.6095
03/04/2014	11:29:40	1034.9167
03/04/2014	11:29:41	1034.8899
03/04/2014	11:29:42	1034.8445
03/04/2014	11:29:43	1034.6710
03/04/2014	11:29:44	1034.5453
03/04/2014	11:29:45	1034.6095
03/04/2014	11:29:46	1034.6414
03/04/2014	11:29:47	1034.8058
03/04/2014	11:29:48	1034.3533
03/04/2014	11:29:49	1034.4813
03/04/2014	11:29:50	1034.7374
03/04/2014	11:29:51	1034.3959
03/04/2014	11:29:52	1034.4044
03/04/2014	11:29:53	1034.4246
03/04/2014	11:29:54	1034.3326
03/04/2014	11:29:55	1034.2806
03/04/2014	11:29:56	1034.2935
03/04/2014	11:29:57	1034.3722
03/04/2014	11:29:58	1034.2251
03/04/2014	11:29:59	1034.2037
03/04/2014	11:30:00	1033.9924
03/04/2014	11:30:01	1033.7770
03/04/2014	11:30:02	1033.9369
03/04/2014	11:30:03	1033.9381
03/04/2014	11:30:04	1033.9745
03/04/2014	11:30:05	1033.9662
03/04/2014	11:30:06	1033.9105
03/04/2014	11:30:07	1033.7559
03/04/2014	11:30:08	1033.9960
03/04/2014	11:30:09	1033.7825
03/04/2014	11:30:10	1033.7185
03/04/2014	11:30:11	1033.4836
03/04/2014	11:30:12	1033.8678
03/04/2014	11:30:13	1033.2274
03/04/2014	11:30:14	1033.5690
03/04/2014	11:30:15	1033.5262
03/04/2014	11:30:16	1033.5455
03/04/2014	11:30:17	1033.0992
03/04/2014	11:30:18	1033.1527
03/04/2014	11:30:19	1033.3726
03/04/2014	11:30:20	1033.1575
03/04/2014	11:30:21	1033.0312
03/04/2014	11:30:22	1033.2080
03/04/2014	11:30:23	1033.0886
03/04/2014	11:30:24	1033.1650
03/04/2014	11:30:25	1032.8129
03/04/2014	11:30:26	1033.1898
03/04/2014	11:30:27	1032.9144
03/04/2014	11:30:28	1033.1257
03/04/2014	11:30:30	1032.7416
03/04/2014	11:30:31	1032.8269
03/04/2014	11:30:32	1032.6919
03/04/2014	11:30:33	1032.7622
03/04/2014	11:30:34	NaN
